File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
9c7d0cbe-953d-4785-8f79-ae54edb3d7ea	875e9333-ef0a-4625-a5b6-56ce145f084d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-IB-A6UF	TCGA-IB-A6UF-01A	Primary Tumor
3946d6e3-4460-43f8-9c1b-defceee3fe4f	65ac44e1-923f-4d0a-aa08-50e92430a785.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-HZ-A49I	TCGA-HZ-A49I-01A	Primary Tumor
df0db454-9793-42df-aeb3-23ca4a105ccb	907768c7-70e3-4141-bc94-589d46e93b85.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-FB-AAQ0	TCGA-FB-AAQ0-01A	Primary Tumor
bed2a207-15f0-4837-9ba0-6638051df824	a5f518f1-22ba-4a2c-8664-d37aba0bf679.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-IB-7654	TCGA-IB-7654-01A	Primary Tumor
35088c7e-99d5-46d4-a8df-ae85794c019b	64dcf9f2-ba3a-492d-9ac7-149cc86f2732.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-XD-AAUL	TCGA-XD-AAUL-01A	Primary Tumor
649f4d81-a634-4734-ba31-bdeb0877312a	6813be8f-c90b-4505-9293-ed370e771ccf.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-HZ-7918	TCGA-HZ-7918-01A	Primary Tumor
508e7f55-26a6-4281-88c9-5e35d59f56c2	47b10cc3-496d-46c7-a9ef-392acb2f58d4.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-FB-AAQ1	TCGA-FB-AAQ1-01A	Primary Tumor
35e2ac4f-1f27-4c48-9a15-9bb66a81b6ac	92aa0849-b81d-47b7-877a-7e1af6193053.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-F2-A8YN	TCGA-F2-A8YN-01A	Primary Tumor
d73129d0-ec0b-46eb-817a-320040bc305d	00bb756b-d7e2-4008-9a96-a706e43649eb.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-IB-7893	TCGA-IB-7893-01A	Primary Tumor
1c49d2cb-2071-473f-a517-2010e28475ab	002de81c-60f8-4933-a0ea-43701990ac43.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-IB-A7M4	TCGA-IB-A7M4-01A	Primary Tumor
